donor_id,donor_type,food_type,category,quantity_kg,expiry_hours,lat,long,city,pickup_status,receiver_id,distance_km,pickup_time_hours,waste_risk,co2_per_kg,methane_factor,water_usage,uncertainty_factor,total_co2_saved,urgency_score,food_density_per_km,waste_risk_encoded,donor_type_encoded,category_encoded
D000,restaurant,ayam bakar,protein,12.1,29.0,-0.4978612990605777,117.15979603230942,Samarinda,failed,Unknown,2.77,2.34,low,4.98,0.61,4848.0,0.965,60.258,0.4033333333333333,4.2160278745644595,1,1,2
D001,restaurant,buah apel,fruit,16.7,24.0,-0.4874815611627726,117.13166579441254,Samarinda,pending,Unknown,5.11,2.23,medium,2.242,0.825,2755.5,1.13,37.4414,0.668,3.205374280230326,2,1,0
D002,hotel,nasi goreng,karbohidrat,8.0,4.0,-0.4920234398331241,117.145529124043,Samarinda,failed,Unknown,4.81,3.88,high,2.242,1.2075,2896.0,0.956,17.936,1.6,1.6293279022403262,0,0,1
D003,hotel,sayur sop,vegetable,5.1,36.0,-0.5192990930551064,117.16839319695264,Samarinda,pending,R13,5.36,1.27,high,1.34,0.91,2571.0,1.0266666666666666,6.834,0.13783783783783785,0.934065934065934,0,0,3
D004,restaurant,sayur sop,vegetable,16.1,24.0,-0.4891733965908366,117.13473621995298,Samarinda,completed,R7,2.9,2.16,medium,1.34,0.91,2571.0,1.0266666666666666,21.574,0.644,5.366666666666667,2,1,3
D005,supermarket,sayur sop,vegetable,27.7,8.0,-0.4822707314439158,117.16829904625806,Samarinda,failed,R13,4.01,2.23,medium,1.34,0.91,2571.0,1.0266666666666666,37.118,3.0777777777777775,6.7396593673965945,2,2,3
D006,hotel,buah apel,fruit,3.2,24.0,-0.4856257872073478,117.15725961873602,Samarinda,failed,Unknown,4.04,3.51,high,2.242,0.825,2755.5,1.13,7.1744,0.128,0.7729468599033817,0,0,0
D007,supermarket,roti tawar,karbohidrat,18.8,45.0,-0.5089495397873622,117.16926609790082,Samarinda,failed,R17,4.11,1.42,high,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334,13.911999999999999,0.40869565217391307,4.465558194774347,0,2,1
D008,supermarket,nasi putih,karbohidrat,16.1,24.0,-0.5148043496056364,117.13233953585892,Samarinda,failed,R5,6.6,2.85,medium,2.5766666666666667,0.585,4120.666666666667,1.05,41.48433333333334,0.644,2.402985074626866,2,2,1
D009,supermarket,salad,vegetable,26.6,24.0,-0.506493025436756,117.1537064465364,Samarinda,failed,R10,1.06,3.78,high,1.595,1.25,2271.6,0.972,42.427,1.064,22.93103448275862,0,2,3
D010,hotel,nasi putih,karbohidrat,4.8,44.0,-0.4998602146866209,117.14090542209806,Samarinda,completed,R2,4.8,2.46,medium,2.5766666666666667,0.585,4120.666666666667,1.05,12.368,0.10666666666666667,0.979591836734694,2,0,1
D011,restaurant,buah apel,fruit,22.6,24.0,-0.4820034338967693,117.14028077965057,Samarinda,pending,R12,4.0,2.0,high,2.242,0.825,2755.5,1.13,50.669200000000004,0.904,5.51219512195122,0,1,0
D012,supermarket,salad,vegetable,13.9,42.0,-0.5043075322149639,117.15631251921604,Samarinda,pending,R19,5.49,3.87,high,1.595,1.25,2271.6,0.972,22.1705,0.3232558139534884,2.486583184257603,0,2,3
D013,hotel,sayur sop,vegetable,28.6,35.0,-0.4945969638550605,117.1319372124715,Samarinda,completed,R14,2.14,2.23,high,1.34,0.91,2571.0,1.0266666666666666,38.324000000000005,0.7944444444444444,12.767857142857142,0,0,3
D014,supermarket,nasi goreng,karbohidrat,21.3,17.0,-0.48887275123253,117.13394543498968,Samarinda,pending,Unknown,0.92,2.24,high,2.242,1.2075,2896.0,0.956,47.7546,1.1833333333333333,20.88235294117647,0,2,1
D015,restaurant,salad,vegetable,18.8,24.0,-0.484364198795231,117.15794193970277,Samarinda,failed,R15,3.9,2.72,low,1.595,1.25,2271.6,0.972,29.986,0.752,4.7,1,1,3
D016,supermarket,buah apel,fruit,20.6,46.0,-0.5093628621187548,117.14835803491484,Samarinda,completed,Unknown,5.42,2.04,medium,2.242,0.825,2755.5,1.13,46.1852,0.43829787234042555,3.731884057971015,2,2,0
D017,supermarket,roti tawar,karbohidrat,11.4,7.0,-0.4810792665050878,117.14461969041665,Samarinda,failed,R3,3.32,3.25,high,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334,8.435999999999998,1.425,3.3333333333333335,0,2,1
D018,hotel,ayam goreng,protein,16.1,40.0,-0.5139111395660153,117.14155116895424,Samarinda,failed,R7,2.98,1.94,medium,4.82,0.18,962.0,1.025,77.60200000000002,0.39268292682926836,5.2272727272727275,2,0,2
D019,restaurant,buah apel,fruit,24.0,24.0,-0.5127097871602999,117.16718325804828,Samarinda,failed,R20,2.06,3.09,low,2.242,0.825,2755.5,1.13,53.808,0.96,11.11111111111111,1,1,0
D020,restaurant,ayam goreng,protein,24.3,7.0,-0.5136434119840371,117.14215202392356,Samarinda,completed,R9,6.25,3.81,high,4.82,0.18,962.0,1.025,117.126,3.0375,3.8267716535433074,0,1,2
D021,supermarket,sayur sop,vegetable,16.1,28.0,-0.5111056101864264,117.1559408878522,Samarinda,pending,R1,2.87,3.93,low,1.34,0.91,2571.0,1.0266666666666666,21.574,0.5551724137931034,5.420875420875421,1,2,3
D022,hotel,salad,vegetable,5.2,38.0,-0.5160120707860565,117.1658678701754,Samarinda,failed,R12,2.48,2.07,low,1.595,1.25,2271.6,0.972,8.294,0.13333333333333333,2.0155038759689923,1,0,3
D023,restaurant,roti tawar,karbohidrat,19.6,5.0,-0.4952691444604207,117.148060283915,Samarinda,completed,R4,1.09,0.55,high,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334,14.504,3.2666666666666666,16.470588235294116,0,1,1
D024,hotel,salad,vegetable,19.2,10.0,-0.5003558786383241,117.15664815618746,Samarinda,completed,R20,5.51,2.51,medium,1.595,1.25,2271.6,0.972,30.624,1.7454545454545454,3.4224598930481287,2,0,3
D025,supermarket,buah apel,fruit,11.5,11.0,-0.5101400447300635,117.13236238614697,Samarinda,pending,R3,4.86,2.51,medium,2.242,0.825,2755.5,1.13,25.783,0.9583333333333333,2.318548387096774,2,2,0
D026,supermarket,ayam goreng,protein,16.1,4.0,-0.496712827409236,117.16979682315558,Samarinda,failed,R7,4.59,2.23,medium,4.82,0.18,962.0,1.025,77.60200000000002,3.2200000000000006,3.432835820895523,2,2,2
D027,supermarket,ayam goreng,protein,19.5,23.0,-0.5063755321802735,117.16658578543468,Samarinda,completed,Unknown,5.16,1.55,high,4.82,0.18,962.0,1.025,93.99000000000001,0.8125,3.7072243346007605,0,2,2
D028,hotel,roti tawar,karbohidrat,2.0,35.0,-0.5065732068705608,117.13529457403448,Samarinda,pending,Unknown,5.07,2.23,medium,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334,1.4799999999999998,0.05555555555555555,0.3868471953578337,2,0,1
D029,supermarket,buah apel,fruit,12.1,6.0,-0.5011325196616853,117.1391016098747,Samarinda,failed,R18,1.9,2.9,low,2.242,0.825,2755.5,1.13,27.1282,1.7285714285714284,6.05,1,2,0
D030,restaurant,ayam goreng,protein,16.1,24.0,-0.5025812143223635,117.16402248300712,Samarinda,pending,R14,6.94,1.81,medium,4.82,0.18,962.0,1.025,77.60200000000002,0.644,2.2869318181818183,2,1,2
D031,hotel,nasi goreng,karbohidrat,20.5,46.0,-0.4871215633821175,117.1580953114303,Samarinda,pending,Unknown,1.74,1.37,low,2.242,1.2075,2896.0,0.956,45.961,0.4361702127659574,11.141304347826086,1,0,1
D032,hotel,roti tawar,karbohidrat,10.0,2.0,-0.4934344363721336,117.16242140274946,Samarinda,completed,R9,2.52,2.23,low,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334,7.399999999999999,3.333333333333333,3.8167938931297707,1,0,1
D033,restaurant,ayam goreng,protein,21.0,4.0,-0.507118542434799,117.14876021422286,Samarinda,pending,R18,3.64,1.03,high,4.82,0.18,962.0,1.025,101.22,4.2,5.614973262032085,0,1,2
D034,hotel,sayur sop,vegetable,30.0,42.0,-0.5020171739500877,117.14496866960556,Samarinda,failed,R20,2.93,1.37,high,1.34,0.91,2571.0,1.0266666666666666,40.2,0.6976744186046512,9.900990099009901,0,0,3
D035,hotel,roti tawar,karbohidrat,25.3,6.0,-0.5066092951204504,117.15224215797288,Samarinda,completed,R6,5.5,2.56,low,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334,18.721999999999998,3.6142857142857143,4.517857142857143,1,0,1
D036,restaurant,salad,vegetable,16.1,48.0,-0.4828989668510445,117.16837531241372,Samarinda,completed,R9,5.21,2.0,high,1.595,1.25,2271.6,0.972,25.6795,0.32857142857142857,3.0320150659133716,0,1,3
D037,hotel,ayam bakar,protein,8.1,29.0,-0.5027208051309675,117.1303889226098,Samarinda,completed,R17,3.61,2.23,medium,4.98,0.61,4848.0,0.965,40.338,0.26999999999999996,2.183288409703504,2,0,2
D038,restaurant,nasi goreng,karbohidrat,14.4,24.0,-0.4813458134466069,117.1429412143103,Samarinda,failed,R5,3.93,2.61,medium,2.242,1.2075,2896.0,0.956,32.284800000000004,0.5760000000000001,3.5732009925558312,2,1,1
D039,supermarket,salad,vegetable,13.1,32.0,-0.4965691530826032,117.13772031338888,Samarinda,failed,R12,5.1,3.64,medium,1.595,1.25,2271.6,0.972,20.8945,0.396969696969697,2.5192307692307696,2,2,3
D040,hotel,sayur sop,vegetable,14.3,42.0,-0.4966227902561934,117.13718466593456,Samarinda,completed,R8,3.17,0.55,low,1.34,0.91,2571.0,1.0266666666666666,19.162000000000003,0.3325581395348837,4.373088685015291,1,0,3
D041,restaurant,roti tawar,karbohidrat,26.8,36.0,-0.5079372760415628,117.13321095260434,Samarinda,completed,R10,0.61,2.36,high,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334,19.831999999999997,0.7243243243243244,37.74647887323944,0,1,1
D042,hotel,ayam goreng,protein,11.4,43.0,-0.5040084020883328,117.13883122858834,Samarinda,completed,R18,5.69,0.67,medium,4.82,0.18,962.0,1.025,54.94800000000001,0.2590909090909091,1.9689119170984457,2,0,2
